state,lambda,V_present,memory_used,surprise,Cstar,states_explored,independent_validation_pass
P,,653,80,G0,8,256,True
P,,653,80,G1,8,256,True
P,,653,80,G2,8,256,True
P,,653,80,G3,8,256,True
P,,653,80,G4,8,256,True
P,,653,80,G5,8,256,True
P,,653,80,G6,8,256,True
P,,653,80,G7,8,256,True
P,,653,80,G8,1,2,True
P,,653,80,G9,1,2,True
P,,653,80,G10,1,2,True
P,,653,80,G11,1,2,True
P,,653,80,G12,1,2,True
P,,653,80,G13,1,2,True
P,,653,80,G14,1,2,True
P,,653,80,G15,1,2,True
C_lambda_0,0,653,80,G0,2,11,True
C_lambda_0,0,653,80,G1,2,11,True
C_lambda_0,0,653,80,G2,2,11,True
C_lambda_0,0,653,80,G3,2,11,True
C_lambda_0,0,653,80,G4,2,11,True
C_lambda_0,0,653,80,G5,2,11,True
C_lambda_0,0,653,80,G6,2,11,True
C_lambda_0,0,653,80,G7,2,11,True
C_lambda_0,0,653,80,G8,1,2,True
C_lambda_0,0,653,80,G9,1,2,True
C_lambda_0,0,653,80,G10,1,2,True
C_lambda_0,0,653,80,G11,1,2,True
C_lambda_0,0,653,80,G12,1,2,True
C_lambda_0,0,653,80,G13,1,2,True
C_lambda_0,0,653,80,G14,1,2,True
C_lambda_0,0,653,80,G15,1,2,True
C_lambda_1,1,552,74,G0,2,11,True
C_lambda_1,1,552,74,G1,2,11,True
C_lambda_1,1,552,74,G2,2,11,True
C_lambda_1,1,552,74,G3,2,11,True
C_lambda_1,1,552,74,G4,2,11,True
C_lambda_1,1,552,74,G5,2,11,True
C_lambda_1,1,552,74,G6,1,2,True
C_lambda_1,1,552,74,G7,1,2,True
C_lambda_1,1,552,74,G8,1,2,True
C_lambda_1,1,552,74,G9,1,2,True
C_lambda_1,1,552,74,G10,1,2,True
C_lambda_1,1,552,74,G11,1,2,True
C_lambda_1,1,552,74,G12,1,2,True
C_lambda_1,1,552,74,G13,1,2,True
C_lambda_1,1,552,74,G14,1,2,True
C_lambda_1,1,552,74,G15,1,2,True
C_lambda_2,2,552,80,G0,2,11,True
C_lambda_2,2,552,80,G1,2,11,True
C_lambda_2,2,552,80,G2,2,11,True
C_lambda_2,2,552,80,G3,2,11,True
C_lambda_2,2,552,80,G4,2,11,True
C_lambda_2,2,552,80,G5,2,11,True
C_lambda_2,2,552,80,G6,1,2,True
C_lambda_2,2,552,80,G7,1,2,True
C_lambda_2,2,552,80,G8,1,2,True
C_lambda_2,2,552,80,G9,1,2,True
C_lambda_2,2,552,80,G10,1,2,True
C_lambda_2,2,552,80,G11,1,2,True
C_lambda_2,2,552,80,G12,1,2,True
C_lambda_2,2,552,80,G13,1,2,True
C_lambda_2,2,552,80,G14,1,2,True
C_lambda_2,2,552,80,G15,1,2,True
C_lambda_3,3,507,77,G0,2,11,True
C_lambda_3,3,507,77,G1,2,11,True
C_lambda_3,3,507,77,G2,2,11,True
C_lambda_3,3,507,77,G3,2,11,True
C_lambda_3,3,507,77,G4,2,11,True
C_lambda_3,3,507,77,G5,1,2,True
C_lambda_3,3,507,77,G6,1,2,True
C_lambda_3,3,507,77,G7,1,2,True
C_lambda_3,3,507,77,G8,1,2,True
C_lambda_3,3,507,77,G9,1,2,True
C_lambda_3,3,507,77,G10,1,2,True
C_lambda_3,3,507,77,G11,1,2,True
C_lambda_3,3,507,77,G12,1,2,True
C_lambda_3,3,507,77,G13,1,2,True
C_lambda_3,3,507,77,G14,1,2,True
C_lambda_3,3,507,77,G15,1,2,True
C_lambda_4,4,465,72,G0,2,11,True
C_lambda_4,4,465,72,G1,2,11,True
C_lambda_4,4,465,72,G2,2,11,True
C_lambda_4,4,465,72,G3,2,11,True
C_lambda_4,4,465,72,G4,1,2,True
C_lambda_4,4,465,72,G5,1,2,True
C_lambda_4,4,465,72,G6,1,2,True
C_lambda_4,4,465,72,G7,1,2,True
C_lambda_4,4,465,72,G8,1,2,True
C_lambda_4,4,465,72,G9,1,2,True
C_lambda_4,4,465,72,G10,1,2,True
C_lambda_4,4,465,72,G11,1,2,True
